Kategori: Tüm kategoriler

Ay,Altın: (Türkiye)
2004-01,2
2004-02,2
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,2
2004-09,2
2004-10,2
2004-11,2
2004-12,2
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,3
2006-03,2
2006-04,3
2006-05,5
2006-06,3
2006-07,3
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,4
2008-02,4
2008-03,5
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2008-08,4
2008-09,5
2008-10,7
2008-11,5
2008-12,4
2009-01,4
2009-02,6
2009-03,6
2009-04,5
2009-05,4
2009-06,4
2009-07,4
2009-08,4
2009-09,4
2009-10,4
2009-11,5
2009-12,6
2010-01,4
2010-02,5
2010-03,5
2010-04,4
2010-05,6
2010-06,5
2010-07,6
2010-08,5
2010-09,5
2010-10,5
2010-11,5
2010-12,6
2011-01,7
2011-02,7
2011-03,8
2011-04,9
2011-05,8
2011-06,7
2011-07,9
2011-08,16
2011-09,17
2011-10,13
2011-11,11
2011-12,10
2012-01,9
2012-02,9
2012-03,9
2012-04,8
2012-05,9
2012-06,9
2012-07,7
2012-08,8
2012-09,10
2012-10,8
2012-11,7
2012-12,7
2013-01,7
2013-02,8
2013-03,7
2013-04,13
2013-05,10
2013-06,10
2013-07,12
2013-08,13
2013-09,13
2013-10,10
2013-11,9
2013-12,9
2014-01,12
2014-02,10
2014-03,9
2014-04,8
2014-05,7
2014-06,8
2014-07,7
2014-08,7
2014-09,7
2014-10,6
2014-11,9
2014-12,8
2015-01,10
2015-02,10
2015-03,8
2015-04,8
2015-05,6
2015-06,7
2015-07,8
2015-08,10
2015-09,7
2015-10,6
2015-11,9
2015-12,7
2016-01,7
2016-02,10
2016-03,8
2016-04,7
2016-05,9
2016-06,8
2016-07,10
2016-08,8
2016-09,7
2016-10,7
2016-11,10
2016-12,8
2017-01,11
2017-02,9
2017-03,9
2017-04,10
2017-05,10
2017-06,8
2017-07,9
2017-08,9
2017-09,9
2017-10,10
2017-11,10
2017-12,10
2018-01,9
2018-02,8
2018-03,10
2018-04,13
2018-05,16
2018-06,15
2018-07,15
2018-08,33
2018-09,21
2018-10,19
2018-11,15
2018-12,14
2019-01,15
2019-02,14
2019-03,18
2019-04,18
2019-05,17
2019-06,18
2019-07,18
2019-08,21
2019-09,19
2019-10,19
2019-11,16
2019-12,17
2020-01,23
2020-02,27
2020-03,31
2020-04,28
2020-05,25
2020-06,24
2020-07,33
2020-08,57
2020-09,32
2020-10,32
2020-11,48
2020-12,29
2021-01,26
2021-02,37
2021-03,41
2021-04,33
2021-05,34
2021-06,35
2021-07,26
2021-08,28
2021-09,25
2021-10,38
2021-11,65
2021-12,100
2022-01,44
2022-02,47
2022-03,50
2022-04,31
2022-05,45
2022-06,52
2022-07,42
2022-08,39
2022-09,39
2022-10,35
2022-11,36
2022-12,34
2023-01,42
2023-02,30
2023-03,42
2023-04,40
2023-05,49
2023-06,56
2023-07,48
2023-08,38
2023-09,32
2023-10,40
2023-11,34
2023-12,35
2024-01,29
2024-02,26
2024-03,36
2024-04,33
