Kategori: Tüm kategoriler

Ay,Enflasyon: (Türkiye)
2004-01,49
2004-02,38
2004-03,41
2004-04,35
2004-05,32
2004-06,37
2004-07,41
2004-08,33
2004-09,22
2004-10,22
2004-11,27
2004-12,33
2005-01,51
2005-02,37
2005-03,54
2005-04,35
2005-05,19
2005-06,13
2005-07,10
2005-08,9
2005-09,10
2005-10,10
2005-11,10
2005-12,11
2006-01,12
2006-02,9
2006-03,12
2006-04,10
2006-05,10
2006-06,11
2006-07,8
2006-08,8
2006-09,8
2006-10,10
2006-11,8
2006-12,9
2007-01,12
2007-02,7
2007-03,6
2007-04,7
2007-05,8
2007-06,5
2007-07,7
2007-08,4
2007-09,4
2007-10,6
2007-11,6
2007-12,7
2008-01,9
2008-02,6
2008-03,6
2008-04,6
2008-05,8
2008-06,9
2008-07,8
2008-08,5
2008-09,5
2008-10,4
2008-11,5
2008-12,5
2009-01,6
2009-02,4
2009-03,4
2009-04,4
2009-05,4
2009-06,4
2009-07,4
2009-08,3
2009-09,3
2009-10,4
2009-11,4
2009-12,4
2010-01,7
2010-02,4
2010-03,5
2010-04,5
2010-05,4
2010-06,4
2010-07,5
2010-08,3
2010-09,3
2010-10,4
2010-11,4
2010-12,4
2011-01,7
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,5
2011-07,5
2011-08,3
2011-09,3
2011-10,3
2011-11,4
2011-12,6
2012-01,9
2012-02,4
2012-03,4
2012-04,4
2012-05,5
2012-06,4
2012-07,4
2012-08,3
2012-09,3
2012-10,4
2012-11,5
2012-12,6
2013-01,8
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,5
2013-08,3
2013-09,4
2013-10,3
2013-11,5
2013-12,7
2014-01,9
2014-02,5
2014-03,4
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,3
2014-09,3
2014-10,4
2014-11,4
2014-12,5
2015-01,9
2015-02,6
2015-03,6
2015-04,5
2015-05,7
2015-06,9
2015-07,7
2015-08,4
2015-09,4
2015-10,4
2015-11,6
2015-12,9
2016-01,13
2016-02,5
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,6
2016-08,3
2016-09,4
2016-10,4
2016-11,6
2016-12,8
2017-01,11
2017-02,7
2017-03,7
2017-04,8
2017-05,9
2017-06,13
2017-07,9
2017-08,5
2017-09,5
2017-10,7
2017-11,11
2017-12,17
2018-01,14
2018-02,8
2018-03,9
2018-04,9
2018-05,12
2018-06,20
2018-07,26
2018-08,14
2018-09,25
2018-10,43
2018-11,38
2018-12,41
2019-01,38
2019-02,14
2019-03,15
2019-04,13
2019-05,15
2019-06,19
2019-07,20
2019-08,13
2019-09,12
2019-10,15
2019-11,17
2019-12,22
2020-01,22
2020-02,9
2020-03,8
2020-04,9
2020-05,11
2020-06,19
2020-07,16
2020-08,9
2020-09,11
2020-10,12
2020-11,19
2020-12,32
2021-01,25
2021-02,12
2021-03,12
2021-04,14
2021-05,17
2021-06,25
2021-07,27
2021-08,14
2021-09,17
2021-10,25
2021-11,38
2021-12,56
2022-01,66
2022-02,38
2022-03,42
2022-04,53
2022-05,76
2022-06,74
2022-07,58
2022-08,36
2022-09,40
2022-10,40
2022-11,42
2022-12,54
2023-01,41
2023-02,24
2023-03,24
2023-04,26
2023-05,26
2023-06,35
2023-07,47
2023-08,27
2023-09,35
2023-10,29
2023-11,38
2023-12,45
2024-01,43
2024-02,30
2024-03,37
2024-04,100
