Kategori: Tüm kategoriler

Ay,işsizlik: (Türkiye)
2004-01,22
2004-02,14
2004-03,21
2004-04,19
2004-05,28
2004-06,19
2004-07,16
2004-08,13
2004-09,14
2004-10,14
2004-11,15
2004-12,23
2005-01,14
2005-02,17
2005-03,29
2005-04,23
2005-05,21
2005-06,25
2005-07,16
2005-08,16
2005-09,20
2005-10,22
2005-11,17
2005-12,21
2006-01,19
2006-02,23
2006-03,21
2006-04,18
2006-05,17
2006-06,16
2006-07,12
2006-08,13
2006-09,13
2006-10,19
2006-11,20
2006-12,17
2007-01,20
2007-02,17
2007-03,15
2007-04,14
2007-05,14
2007-06,14
2007-07,12
2007-08,12
2007-09,13
2007-10,13
2007-11,17
2007-12,13
2008-01,14
2008-02,17
2008-03,14
2008-04,15
2008-05,14
2008-06,13
2008-07,14
2008-08,14
2008-09,14
2008-10,21
2008-11,32
2008-12,29
2009-01,29
2009-02,32
2009-03,27
2009-04,25
2009-05,22
2009-06,20
2009-07,19
2009-08,20
2009-09,18
2009-10,21
2009-11,17
2009-12,20
2010-01,18
2010-02,18
2010-03,20
2010-04,16
2010-05,16
2010-06,15
2010-07,15
2010-08,14
2010-09,15
2010-10,15
2010-11,13
2010-12,18
2011-01,15
2011-02,13
2011-03,14
2011-04,12
2011-05,14
2011-06,16
2011-07,12
2011-08,21
2011-09,15
2011-10,14
2011-11,14
2011-12,14
2012-01,17
2012-02,15
2012-03,13
2012-04,12
2012-05,13
2012-06,13
2012-07,14
2012-08,14
2012-09,15
2012-10,14
2012-11,15
2012-12,14
2013-01,16
2013-02,15
2013-03,14
2013-04,14
2013-05,13
2013-06,13
2013-07,17
2013-08,14
2013-09,17
2013-10,17
2013-11,18
2013-12,17
2014-01,18
2014-02,22
2014-03,16
2014-04,18
2014-05,17
2014-06,19
2014-07,19
2014-08,17
2014-09,20
2014-10,18
2014-11,21
2014-12,21
2015-01,24
2015-02,22
2015-03,22
2015-04,20
2015-05,21
2015-06,23
2015-07,21
2015-08,21
2015-09,20
2015-10,21
2015-11,24
2015-12,24
2016-01,40
2016-02,38
2016-03,34
2016-04,32
2016-05,28
2016-06,29
2016-07,27
2016-08,34
2016-09,31
2016-10,38
2016-11,32
2016-12,35
2017-01,38
2017-02,35
2017-03,35
2017-04,28
2017-05,26
2017-06,29
2017-07,27
2017-08,28
2017-09,27
2017-10,29
2017-11,26
2017-12,29
2018-01,38
2018-02,30
2018-03,32
2018-04,26
2018-05,29
2018-06,29
2018-07,32
2018-08,34
2018-09,43
2018-10,40
2018-11,44
2018-12,56
2019-01,64
2019-02,52
2019-03,39
2019-04,38
2019-05,49
2019-06,42
2019-07,40
2019-08,34
2019-09,41
2019-10,39
2019-11,37
2019-12,38
2020-01,41
2020-02,35
2020-03,60
2020-04,100
2020-05,59
2020-06,51
2020-07,46
2020-08,32
2020-09,27
2020-10,28
2020-11,27
2020-12,33
2021-01,32
2021-02,26
2021-03,28
2021-04,28
2021-05,25
2021-06,31
2021-07,44
2021-08,34
2021-09,26
2021-10,25
2021-11,25
2021-12,35
2022-01,43
2022-02,39
2022-03,34
2022-04,34
2022-05,28
2022-06,34
2022-07,39
2022-08,36
2022-09,33
2022-10,31
2022-11,30
2022-12,39
2023-01,42
2023-02,34
2023-03,34
2023-04,31
2023-05,30
2023-06,38
2023-07,38
2023-08,34
2023-09,35
2023-10,33
2023-11,31
2023-12,36
2024-01,42
2024-02,38
2024-03,29
2024-04,36
