Kategori: Tüm kategoriler

Ay,İşsizlik sigortası: (Türkiye)
2004-01,0
2004-02,0
2004-03,0
2004-04,81
2004-05,72
2004-06,59
2004-07,56
2004-08,93
2004-09,53
2004-10,54
2004-11,71
2004-12,67
2005-01,73
2005-02,46
2005-03,94
2005-04,92
2005-05,71
2005-06,84
2005-07,73
2005-08,78
2005-09,63
2005-10,79
2005-11,55
2005-12,49
2006-01,61
2006-02,100
2006-03,66
2006-04,53
2006-05,53
2006-06,53
2006-07,42
2006-08,51
2006-09,41
2006-10,59
2006-11,55
2006-12,47
2007-01,65
2007-02,49
2007-03,48
2007-04,32
2007-05,34
2007-06,44
2007-07,36
2007-08,32
2007-09,42
2007-10,37
2007-11,35
2007-12,34
2008-01,33
2008-02,49
2008-03,29
2008-04,31
2008-05,28
2008-06,30
2008-07,32
2008-08,38
2008-09,35
2008-10,44
2008-11,64
2008-12,60
2009-01,62
2009-02,56
2009-03,64
2009-04,52
2009-05,44
2009-06,48
2009-07,40
2009-08,46
2009-09,38
2009-10,39
2009-11,28
2009-12,25
2010-01,24
2010-02,27
2010-03,22
2010-04,15
2010-05,21
2010-06,19
2010-07,20
2010-08,22
2010-09,28
2010-10,23
2010-11,13
2010-12,21
2011-01,20
2011-02,15
2011-03,17
2011-04,15
2011-05,17
2011-06,15
2011-07,16
2011-08,18
2011-09,19
2011-10,17
2011-11,16
2011-12,14
2012-01,22
2012-02,18
2012-03,14
2012-04,12
2012-05,10
2012-06,14
2012-07,14
2012-08,15
2012-09,15
2012-10,15
2012-11,14
2012-12,15
2013-01,17
2013-02,16
2013-03,13
2013-04,13
2013-05,11
2013-06,12
2013-07,13
2013-08,13
2013-09,16
2013-10,14
2013-11,16
2013-12,13
2014-01,14
2014-02,15
2014-03,13
2014-04,13
2014-05,12
2014-06,14
2014-07,12
2014-08,12
2014-09,14
2014-10,12
2014-11,15
2014-12,13
2015-01,16
2015-02,14
2015-03,12
2015-04,13
2015-05,13
2015-06,12
2015-07,13
2015-08,12
2015-09,10
2015-10,11
2015-11,13
2015-12,14
2016-01,17
2016-02,16
2016-03,12
2016-04,12
2016-05,12
2016-06,13
2016-07,11
2016-08,12
2016-09,11
2016-10,13
2016-11,12
2016-12,11
2017-01,12
2017-02,14
2017-03,11
2017-04,10
2017-05,11
2017-06,11
2017-07,9
2017-08,9
2017-09,8
2017-10,11
2017-11,10
2017-12,9
2018-01,11
2018-02,10
2018-03,10
2018-04,9
2018-05,9
2018-06,7
2018-07,8
2018-08,9
2018-09,13
2018-10,14
2018-11,13
2018-12,14
2019-01,16
2019-02,14
2019-03,12
2019-04,9
2019-05,11
2019-06,8
2019-07,9
2019-08,9
2019-09,10
2019-10,11
2019-11,11
2019-12,9
2020-01,12
2020-02,8
2020-03,17
2020-04,18
2020-05,10
2020-06,13
2020-07,13
2020-08,7
2020-09,6
2020-10,5
2020-11,7
2020-12,8
2021-01,9
2021-02,6
2021-03,6
2021-04,7
2021-05,8
2021-06,7
2021-07,8
2021-08,7
2021-09,5
2021-10,6
2021-11,7
2021-12,7
2022-01,9
2022-02,7
2022-03,8
2022-04,7
2022-05,7
2022-06,7
2022-07,6
2022-08,8
2022-09,7
2022-10,7
2022-11,6
2022-12,9
2023-01,8
2023-02,6
2023-03,8
2023-04,10
2023-05,6
2023-06,10
2023-07,7
2023-08,6
2023-09,7
2023-10,6
2023-11,6
2023-12,7
2024-01,7
2024-02,10
2024-03,7
2024-04,7
